id,fecha,producto,categoria,cantidad,precio_unitario,vendedor,region
1,2024-01-05,Motor electrico trifasico 5HP,Motores,4,680000,Juan Perez,Metropolitana
2,2024-01-05,Sensor de proximidad inductivo,Sensores,25,45000,Maria Lopez,Antofagasta
3,2024-01-06,Bomba hidraulica 10HP,Bombas,2,890000,Carlos Ruiz,Biobio
4,2024-01-06,Rodamiento SKF 6205,Repuestos,30,18000,Ana Torres,Valparaiso
5,2024-01-07,Variador de frecuencia 7.5kW,Automatizacion,3,750000,Pedro Soto,Metropolitana
6,2024-01-08,Motor monofasico 2HP,Motores,6,320000,Juan Perez,Araucania
7,2024-01-08,Sensor de temperatura PT100,Sensores,18,38000,Maria Lopez,Antofagasta
8,2024-01-09,Servomotor industrial,Motores,2,1250000,Carlos Ruiz,Metropolitana
9,2024-01-09,Correa industrial,Repuestos,22,22000,Ana Torres,Biobio
10,2024-01-10,PLC compacto,Automatizacion,4,480000,Pedro Soto,Valparaiso
11,2024-01-11,Bomba centrifuga,Bombas,3,540000,Juan Perez,Metropolitana
12,2024-01-11,Sensor de presion,Sensores,10,125000,Maria Lopez,Antofagasta
13,2024-01-12,Motor electrico trifasico 5HP,Motores,5,680000,Carlos Ruiz,Araucania
14,2024-01-12,Contactor trifasico,Automatizacion,15,35000,Ana Torres,Metropolitana
15,2024-01-15,Compresor de aire 100L,Repuestos,3,420000,Pedro Soto,Biobio
16,2024-01-15,Reductor de velocidad,Motores,2,610000,Juan Perez,Valparaiso
17,2024-01-16,Sensor de proximidad inductivo,Sensores,20,45000,Maria Lopez,Metropolitana
18,2024-01-17,Bomba hidraulica 10HP,Bombas,1,890000,Carlos Ruiz,Antofagasta
19,2024-01-18,Variador de frecuencia 7.5kW,Automatizacion,2,750000,Ana Torres,Biobio
20,2024-01-19,Rodamiento SKF 6205,Repuestos,28,18000,Pedro Soto,Metropolitana
